File Name,ET,EV,EJ,ENuc,Ex,HF
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R05.out,1.421171,-4.581194,1.513393,2.0,-0.680373,-0.3270242
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R06.out,1.388499,-4.472982,1.499119,1.666667,-0.673804,-0.5925136
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R07.out,1.356194,-4.363508,1.483226,1.428571,-0.666648,-0.7621693
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R08.out,1.32564,-4.255966,1.466036,1.25,-0.659081,-0.8733722
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R09.out,1.297693,-4.152219,1.447837,1.111111,-0.651263,-0.9468426
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R10.out,1.27273,-4.053168,1.428878,1.0,-0.643323,-0.994884
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R11.out,1.250779,-3.959119,1.409369,0.909091,-0.635359,-1.0252382
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R12.out,1.231671,-3.870082,1.389486,0.833333,-0.627448,-1.0430386
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R13.out,1.215173,-3.785965,1.369382,0.769231,-0.619655,-1.0518355
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R14.out,1.201079,-3.706674,1.349188,0.714286,-0.612034,-1.0541547
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R15.out,1.189263,-3.63214,1.329028,0.666667,-0.604635,-1.0518166
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R16.out,1.179672,-3.56232,1.309014,0.625,-0.597502,-1.0461358
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R17.out,1.172309,-3.497176,1.289253,0.588235,-0.59068,-1.0380588
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R18.out,1.167192,-3.436652,1.269844,0.555556,-0.584208,-1.0282675
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R19.out,1.164328,-3.38066,1.250879,0.526316,-0.578121,-1.017258
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R20.out,1.163683,-3.329073,1.23244,0.5,-0.572448,-1.0053992
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R21.out,1.165176,-3.281724,1.214595,0.47619,-0.56721,-0.9929737
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R22.out,1.168676,-3.238409,1.197404,0.454545,-0.562421,-0.9802045
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R23.out,1.174012,-3.198894,1.180912,0.434783,-0.558084,-0.9672718
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R24.out,1.180981,-3.162922,1.16515,0.416667,-0.554198,-0.9543227
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R25.out,1.189365,-3.130228,1.150139,0.4,-0.550753,-0.9414775
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R26.out,1.198938,-3.10054,1.135887,0.384615,-0.547733,-0.9288334
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R27.out,1.209478,-3.073589,1.122392,0.37037,-0.545119,-0.9164679
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R28.out,1.220777,-3.049119,1.109645,0.357143,-0.542887,-0.9044416
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R29.out,1.232639,-3.026884,1.097627,0.344828,-0.541011,-0.8928008
H2_XALPHA_STO3G/H2_XALPHA_STO3G_R30.out,1.244891,-3.006657,1.086316,0.333333,-0.539463,-0.88158
